,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
28,Ridle Baku,de GER,"FW,DF",Wolfsburg,23-033,1998,27.8,76,2.74,62,1,4,3,4,2,14,0.5,12,0,1,0,0,1,0,Matches
29,Ridle Baku,de GER,DF,Mainz 05,23-033,1998,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Philipp Bargfrede,de GER,MF,Werder Bremen,32-069,1989,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,22-355,1998,10.3,38,3.67,25,8,2,0,2,1,5,0.48,3,1,1,0,0,0,0,Matches
32,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21-128,2000,24.2,31,1.28,25,1,2,0,3,0,2,0.08,2,0,0,0,0,0,0,Matches
33,Jacob Barrett Laursen,dk DEN,DF,Arminia,26-175,1994,11.7,7,0.6,7,0,0,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
34,Oliver Baumann,de GER,GK,Hoffenheim,30-343,1990,31,2,0.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Julian Baumgartlinger,at AUT,MF,Leverkusen,33-129,1988,11.9,23,1.93,18,0,0,1,4,0,2,0.17,1,0,0,1,0,0,0,Matches
36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-283,1999,26.3,79,3,51,2,3,5,14,4,11,0.42,7,0,1,0,3,0,0,Matches
37,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-263,1996,0.4,1,2.5,1,0,0,0,0,0,1,2.5,1,0,0,0,0,0,0,Matches
38,Ihlas Bebou,tg TOG,FW,Hoffenheim,27-018,1994,22.4,62,2.76,47,0,8,3,3,1,13,0.58,7,0,3,2,1,0,0,Matches
39,Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-091,1995,11.9,33,2.77,25,0,2,3,3,0,7,0.59,6,0,0,0,1,0,0,Matches
